review,label,Predicted_Label
review,0,0
great price bought brother sale,1,1
good quality shirt purchased brother liked much fitting also perfect,1,1
like fabric smooth shirt feel like premium segment look like golf player,1,1
absolutely stunning fit pop colour ha remain year regular use recommended,1,1
product wa good never disappoint ordered lp product myntra,1,1
material awesome summer length wise little bit longer alter easily nice fabric true size used wear ordered,1,1
good shirt bought brother cloth material soft size according measurement mentioned,1,1
purchased boyfriend valentine day made customized loved thank myntra,1,1
amazing product got great deal brand say lot quality happy buy,1,1
soft cool,1,1
worth buying,1,1
fabric stretchable go one size less usual,1,1
fitting colour satisfactory fabric quality good,0,0
nice fabric,1,1
nice fitting,1,1
shirt soft silky best summer,1,1
product bad quality packing also bad quality,0,0
nice,1,1
premium budget friendly tshirt,1,1
nice fabric,1,1
soft cool,1,1
worth buying,1,1
fabric stretchable go one size less usual,1,1
nice,1,1
good,1,1
good,0,1
quality really good light soft stretch well worth money,1,1
comfortable soft,1,1
nice feel good look,1,1
good,1,1
nice fabric comfortable,1,1
good,1,1
good,1,1
quality good,1,1
fitting colour satisfactory fabric quality good,0,0
nice fabric,1,1
nice fitting,1,1
shirt soft silky best summer,1,1
product bad quality packing also bad quality,0,0
nice,1,1
premium budget friendly tshirt,1,1
nice fabric,1,1
soft cool,1,1
worth buying,1,1
fabric stretchable go one size less usual,1,1
nice,1,1
good,1,1
good,0,1
quality really good light soft stretch well worth money,1,1
comfortable soft,1,1
nice feel good look,1,1
good,1,1
nice fabric comfortable,1,1
good,1,1
good,1,1
quality good,1,1
stylish classy,1,1
good product quality,1,1
perfect fit,1,1
classic polo shirt authentic item,1,1
nice fitting,1,1
airismmm light weight stunning tshirt,1,1
good quality material,1,1
soft stuff value money,1,1
good product,1,1
wow,1,1
upto mark,0,0
great tshirt,1,1
review,0,0
fabric ultra soft comfortable look good,1,1
look good shown myntra app product quality good wash fabric seems loosen,0,0
extremely comfortable polo shirt bit thine going without vest innerwear mistake undoubtedly comfortable ride semi formal casual look,1,1
original brand product quality good somehow time return reason returned product cheat branded product least otherwise public trust anymore,0,1
texture nice soft stick body quality colour look nice bright saw bought received price awesome,1,1
material awesome summer length wise little bit longer alter easily nice fabric true size used wear ordered,1,1
quality shirt awsome material soft issue little transparent,1,1
ordered size polo shirt received xxl size ordered size received xxl really disappointed myntra wa husband birthday gift gone,0,0
perfect quality perfect fitting best product using year even color fade look old best tshirt bought myntra till,1,1
fabric mark colour also stable many wash size might short compare brand,1,1
good shirt bought brother cloth material soft size according measurement mentioned,1,1
premium budget friendly tshirt,1,1
worth buying,1,1
fitting colour satisfactory fabric quality good,0,0
nice fabric,1,1
product bad quality packing also bad quality,0,0
nice,1,1
soft cool,1,1
fabric stretchable go one size less usual,1,1
nice fitting,1,1
shirt soft silky best summer,1,1
nice fabric,1,1
quality good,1,1
nice fabric comfortable,1,1
good,0,1
good,1,1
good,1,1
good,1,1
nice feel good look,1,1
quality really good light soft stretch well worth money,1,1
comfortable soft,1,1
good,1,1
nice,1,1
premium budget friendly tshirt,1,1
worth buying,1,1
fitting colour satisfactory fabric quality good,0,0
nice fabric,1,1
product bad quality packing also bad quality,0,0
nice,1,1
soft cool,1,1
fabric stretchable go one size less usual,1,1
nice fitting,1,1
shirt soft silky best summer,1,1
nice fabric,1,1
quality good,1,1
nice fabric comfortable,1,1
good,0,1
good,1,1
good,1,1
good,1,1
nice feel good look,1,1
quality really good light soft stretch well worth money,1,1
comfortable soft,1,1
good,1,1
nice,1,1
soft stuff value money,1,1
upto mark,0,0
